2	4	222
2	5	384
3	5	2999
4	6	40
4	7	834
5	7	1564
4	8	274
5	8	522
4	9	391
5	9	543
4	10	404
5	10	730
2	12	96
3	12	575
6	12	19
7	12	801
8	12	287
9	12	449
10	12	412
2	13	141
3	13	709
6	13	42
7	13	1038
8	13	197
9	13	552
10	13	369
2	14	58
3	14	437
6	14	46
7	14	716
8	14	212
9	14	357
10	14	393
4	15	400
5	15	734
12	15	1119
13	15	2916
4	17	253
5	17	579
12	17	714
13	17	1351
14	17	850
2	18	94
3	18	411
6	18	22
7	18	550
8	18	154
9	18	310
10	18	337
15	18	1112
4	21	95
5	21	140
12	21	152
13	21	404
14	21	357
18	21	536
4	22	118
5	22	125
12	22	206
13	22	370
14	22	244
18	22	200
4	23	572
5	23	780
12	23	783
13	23	1744
14	23	896
18	23	1156
2	24	77
3	24	261
6	24	13
7	24	496
8	24	127
9	24	188
10	24	322
15	24	629
17	24	527
21	24	439
22	24	204
4	25	371
5	25	568
12	25	441
13	25	1249
14	25	836
18	25	901
4	26	168
5	26	252
12	26	265
13	26	612
14	26	406
18	26	469
24	26	788
4	27	25
5	27	67
12	27	52
13	27	70
14	27	63
18	27	92
24	27	110
4	29	218
5	29	396
12	29	275
13	29	683
14	29	348
18	29	454
24	29	673
4	32	30
5	32	69
12	32	50
13	32	89
14	32	55
18	32	78
24	32	136
2	33	33
3	33	107
6	33	16
7	33	155
8	33	82
9	33	126
10	33	91
15	33	265
17	33	411
21	33	125
22	33	39
23	33	555
25	33	528
26	33	383
27	33	47
29	33	628
2	34	35
3	34	175
6	34	1
7	34	325
8	34	118
9	34	142
10	34	219
15	34	619
17	34	520
21	34	238
22	34	129
23	34	769
25	34	810
26	34	324
27	34	85
29	34	1146
32	34	293
2	35	66
3	35	240
6	35	37
7	35	325
8	35	159
9	35	169
10	35	186
15	35	510
17	35	538
21	35	197
22	35	97
23	35	960
25	35	908
26	35	486
27	35	120
29	35	1121
32	35	197
2	36	72
3	36	348
6	36	3
7	36	371
8	36	63
9	36	149
10	36	178
15	36	660
17	36	446
21	36	173
22	36	112
23	36	733
25	36	950
26	36	517
27	36	64
29	36	967
32	36	158
2	37	31
3	37	79
6	37	4
7	37	176
8	37	42
9	37	71
10	37	91
15	37	278
17	37	152
21	37	77
22	37	41
23	37	301
25	37	332
26	37	164
27	37	59
29	37	436
32	37	71
2	38	71
3	38	173
6	38	8
7	38	205
8	38	72
9	38	125
10	38	172
15	38	419
17	38	328
21	38	147
22	38	118
23	38	607
25	38	612
26	38	448
27	38	56
29	38	717
32	38	131
2	40	26
3	40	117
6	40	7
7	40	156
8	40	19
9	40	108
10	40	19
15	40	371
17	40	141
21	40	6
22	40	21
23	40	193
25	40	315
26	40	117
27	40	26
29	40	169
32	40	13
4	41	48
5	41	81
12	41	66
13	41	114
14	41	83
18	41	59
24	41	52
33	41	111
34	41	84
35	41	100
36	41	93
37	41	55
38	41	92
4	42	17
5	42	37
12	42	25
13	42	102
14	42	49
18	42	39
24	42	55
33	42	61
34	42	67
35	42	107
36	42	80
37	42	47
38	42	142
40	42	40
4	43	117
5	43	199
12	43	188
13	43	277
14	43	202
18	43	215
24	43	138
33	43	174
34	43	267
35	43	342
36	43	356
37	43	133
38	43	257
40	43	182
4	46	20
5	46	27
12	46	9
13	46	35
14	46	15
18	46	26
24	46	7
33	46	7
34	46	12
35	46	23
36	46	15
37	46	6
38	46	24
40	46	3
2	47	61
3	47	141
6	47	7
7	47	190
8	47	81
9	47	130
10	47	106
15	47	269
17	47	246
21	47	149
22	47	37
23	47	406
25	47	263
26	47	240
27	47	62
29	47	387
32	47	44
41	47	109
42	47	97
43	47	473
2	48	43
3	48	113
6	48	1
7	48	130
8	48	6
9	48	45
10	48	66
15	48	233
17	48	157
21	48	80
22	48	21
23	48	275
25	48	277
26	48	130
27	48	32
29	48	181
32	48	37
41	48	61
42	48	68
43	48	333
46	48	46
2	49	40
3	49	96
6	49	0
7	49	102
8	49	63
9	49	75
10	49	84
15	49	155
17	49	182
21	49	61
22	49	29
23	49	264
25	49	256
26	49	125
27	49	11
29	49	247
32	49	33
41	49	78
42	49	102
43	49	297
46	49	63
2	50	16
3	50	77
6	50	10
7	50	155
8	50	33
9	50	50
10	50	73
15	50	152
17	50	229
21	50	48
22	50	33
23	50	239
25	50	267
26	50	102
27	50	11
29	50	171
32	50	46
41	50	34
42	50	38
43	50	250
46	50	37
4	52	89
5	52	47
12	52	26
13	52	45
14	52	49
18	52	136
24	52	48
33	52	49
34	52	112
35	52	105
36	52	133
37	52	36
38	52	64
40	52	53
47	52	311
48	52	188
49	52	217
4	53	36
5	53	35
12	53	58
13	53	68
14	53	85
18	53	62
24	53	46
33	53	30
34	53	66
35	53	73
36	53	37
37	53	40
38	53	59
40	53	18
47	53	136
48	53	93
49	53	150
50	53	189
2	54	40
3	54	152
6	54	7
7	54	210
8	54	80
9	54	115
10	54	80
15	54	253
17	54	286
21	54	48
22	54	43
23	54	321
25	54	292
26	54	181
27	54	8
29	54	255
32	54	42
41	54	63
42	54	81
43	54	403
46	54	30
52	54	484
