# i j 840 1140
2	4	1.191e+02	6.732e+02
2	5	1.384e+02	3.232e+02
3	5	0.000e+00	2.381e+02
4	6	0.000e+00	4.711e+01
4	7	5.143e+01	1.556e+02
5	7	0.000e+00	1.580e+02
4	8	6.186e+01	1.731e+02
5	8	4.977e+01	1.899e+02
4	9	8.517e+01	2.124e+02
5	9	9.322e+01	2.477e+02
4	10	9.469e+01	2.315e+02
5	10	1.087e+02	2.620e+02
2	12	9.365e+01	2.216e+02
3	12	9.220e+01	2.329e+02
6	12	9.289e+01	2.257e+02
7	12	9.016e+01	2.190e+02
8	12	9.246e+01	2.261e+02
9	12	9.175e+01	2.305e+02
10	12	1.301e+01	2.359e+02
2	13	8.623e+01	2.168e+02
3	13	8.984e+01	2.294e+02
6	13	8.633e+01	2.154e+02
7	13	8.194e+01	2.117e+02
8	13	8.615e+01	2.141e+02
9	13	8.968e+01	2.190e+02
10	13	6.691e+01	2.099e+02
2	14	8.524e+01	2.182e+02
3	14	8.993e+01	2.339e+02
6	14	8.060e+01	2.089e+02
7	14	7.762e+01	2.056e+02
8	14	8.494e+01	2.078e+02
9	14	8.824e+01	2.172e+02
10	14	7.595e+01	2.195e+02
4	15	9.048e+01	2.285e+02
5	15	9.152e+01	2.287e+02
12	15	5.133e+02	9.369e+02
13	15	7.887e+02	1.197e+03
4	17	1.071e+02	2.506e+02
5	17	1.016e+02	2.440e+02
12	17	8.942e+01	2.280e+02
13	17	7.574e+01	2.226e+02
14	17	6.756e+01	2.124e+02
2	18	9.750e+01	2.348e+02
3	18	1.022e+02	2.493e+02
6	18	8.981e+01	2.243e+02
7	18	8.699e+01	2.186e+02
8	18	8.616e+01	2.184e+02
9	18	9.667e+01	2.225e+02
10	18	9.607e+01	2.340e+02
15	18	5.151e+01	2.243e+02
4	21	8.799e+01	2.284e+02
5	21	9.562e+01	2.374e+02
12	21	7.651e+01	2.071e+02
13	21	7.488e+01	1.974e+02
14	21	6.904e+01	1.956e+02
18	21	1.627e+01	9.707e+01
4	22	8.830e+01	2.255e+02
5	22	9.227e+01	2.359e+02
12	22	7.797e+01	2.018e+02
13	22	7.353e+01	1.967e+02
14	22	7.107e+01	1.932e+02
18	22	3.546e+01	1.213e+02
4	23	9.835e+01	2.488e+02
5	23	9.450e+01	2.358e+02
12	23	8.340e+01	2.142e+02
13	23	8.036e+01	2.070e+02
14	23	7.651e+01	2.069e+02
18	23	9.725e+01	2.299e+02
2	24	9.446e+01	2.298e+02
3	24	9.532e+01	2.398e+02
6	24	8.420e+01	2.092e+02
7	24	8.510e+01	2.081e+02
8	24	8.748e+01	2.100e+02
9	24	8.715e+01	2.158e+02
10	24	8.879e+01	2.173e+02
15	24	7.590e+01	2.034e+02
17	24	9.177e+01	2.226e+02
21	24	0.000e+00	3.700e+01
22	24	0.000e+00	0.000e+00
4	25	9.348e+01	2.300e+02
5	25	9.551e+01	2.346e+02
12	25	8.376e+01	2.147e+02
13	25	8.131e+01	2.095e+02
14	25	7.498e+01	2.035e+02
18	25	8.883e+01	2.180e+02
4	26	9.675e+01	2.335e+02
5	26	9.746e+01	2.352e+02
12	26	8.558e+01	2.090e+02
13	26	8.193e+01	2.061e+02
14	26	7.921e+01	2.027e+02
18	26	9.368e+01	2.273e+02
24	26	0.000e+00	0.000e+00
4	27	1.016e+02	2.347e+02
5	27	1.048e+02	2.468e+02
12	27	8.421e+01	2.143e+02
13	27	8.663e+01	2.093e+02
14	27	8.415e+01	2.105e+02
18	27	9.735e+01	2.251e+02
24	27	4.601e+01	1.370e+02
4	29	8.741e+01	2.132e+02
5	29	9.524e+01	2.294e+02
12	29	8.190e+01	2.040e+02
13	29	7.662e+01	2.013e+02
14	29	7.700e+01	1.994e+02
18	29	8.914e+01	2.102e+02
24	29	8.301e+01	1.986e+02
4	32	8.290e+01	2.068e+02
5	32	8.920e+01	2.193e+02
12	32	8.054e+01	1.965e+02
13	32	7.561e+01	2.002e+02
14	32	7.724e+01	1.964e+02
18	32	8.429e+01	2.078e+02
24	32	8.687e+01	2.093e+02
2	33	8.544e+01	2.081e+02
3	33	8.926e+01	2.163e+02
6	33	8.911e+01	2.131e+02
7	33	8.410e+01	2.054e+02
8	33	8.485e+01	2.111e+02
9	33	8.619e+01	2.161e+02
10	33	9.215e+01	2.246e+02
15	33	8.149e+01	1.969e+02
17	33	9.282e+01	2.169e+02
21	33	7.804e+01	1.980e+02
22	33	8.333e+01	1.973e+02
23	33	8.895e+01	2.161e+02
25	33	8.435e+01	1.906e+02
26	33	7.769e+01	1.892e+02
27	33	8.442e+01	1.874e+02
29	33	7.332e+01	1.667e+02
2	34	9.174e+01	2.179e+02
3	34	9.220e+01	2.235e+02
6	34	8.557e+01	2.083e+02
7	34	8.861e+01	2.084e+02
8	34	8.981e+01	2.096e+02
9	34	9.127e+01	2.172e+02
10	34	9.059e+01	2.207e+02
15	34	7.861e+01	1.968e+02
17	34	9.339e+01	2.169e+02
21	34	8.027e+01	1.973e+02
22	34	7.909e+01	1.964e+02
