2	4	80
2	5	91
3	5	5281
4	6	26
4	7	231
5	7	466
4	8	62
5	8	64
4	9	33
5	9	91
4	10	69
5	10	82
2	12	15
3	12	77
6	12	0
7	12	265
8	12	28
9	12	234
10	12	231
2	13	72
3	13	67
6	13	0
7	13	345
8	13	103
9	13	227
10	13	203
2	14	25
3	14	39
6	14	0
7	14	144
8	14	45
9	14	110
10	14	168
4	15	35
5	15	40
12	15	655
13	15	3492
4	17	40
5	17	39
12	17	367
13	17	924
14	17	637
2	18	92
3	18	38
6	18	0
7	18	132
8	18	71
9	18	108
10	18	142
15	18	952
4	21	36
5	21	48
12	21	143
13	21	617
14	21	375
18	21	444
4	22	47
5	22	28
12	22	187
13	22	246
14	22	128
18	22	126
4	23	139
5	23	178
12	23	582
13	23	1508
14	23	388
18	23	270
2	24	16
3	24	11
6	24	0
7	24	126
8	24	52
9	24	206
10	24	108
15	24	131
17	24	88
21	24	223
22	24	37
4	25	68
5	25	143
12	25	71
13	25	528
14	25	217
18	25	200
4	26	69
5	26	52
12	26	94
13	26	180
14	26	59
18	26	38
24	26	601
4	27	0
5	27	41
12	27	0
13	27	42
14	27	63
18	27	79
24	27	106
4	29	34
5	29	103
12	29	66
13	29	146
14	29	69
18	29	105
24	29	293
4	32	12
5	32	12
12	32	7
13	32	42
14	32	7
18	32	33
24	32	34
2	33	0
3	33	0
6	33	0
7	33	13
8	33	10
9	33	35
10	33	7
15	33	17
17	33	24
21	33	53
22	33	0
23	33	132
25	33	72
26	33	71
27	33	13
29	33	136
2	34	26
3	34	28
6	34	0
7	34	115
8	34	9
9	34	43
10	34	35
15	34	91
17	34	19
21	34	49
22	34	0
23	34	322
25	34	384
26	34	234
27	34	61
29	34	590
32	34	476
2	35	28
3	35	19
6	35	0
7	35	77
8	35	27
9	35	34
10	35	19
15	35	124
17	35	98
21	35	50
22	35	0
23	35	291
25	35	529
26	35	263
27	35	100
29	35	329
32	35	240
2	36	0
3	36	11
6	36	0
7	36	94
8	36	11
9	36	41
10	36	9
15	36	35
17	36	23
21	36	42
22	36	0
23	36	141
25	36	250
26	36	155
27	36	42
29	36	350
32	36	133
2	37	7
3	37	2
6	37	0
7	37	38
8	37	17
9	37	13
10	37	18
15	37	30
17	37	15
21	37	8
22	37	1
23	37	78
25	37	121
26	37	33
27	37	23
29	37	95
32	37	39
2	38	69
3	38	1
6	38	0
7	38	57
8	38	38
9	38	41
10	38	48
15	38	25
17	38	0
21	38	18
22	38	43
23	38	129
25	38	256
26	38	81
27	38	0
29	38	147
32	38	59
2	40	0
3	40	0
6	40	0
7	40	21
8	40	0
9	40	33
10	40	14
15	40	21
17	40	17
21	40	0
22	40	0
23	40	24
25	40	65
26	40	23
27	40	16
29	40	37
32	40	0
4	41	8
5	41	14
12	41	23
13	41	6
14	41	7
18	41	7
24	41	12
33	41	10
34	41	50
35	41	24
36	41	34
37	41	27
38	41	4
4	42	1
5	42	5
12	42	8
13	42	23
14	42	11
18	42	5
24	42	1
33	42	41
34	42	30
35	42	27
36	42	11
37	42	10
38	42	19
40	42	7
4	43	1
5	43	22
12	43	6
13	43	51
14	43	32
18	43	8
24	43	26
33	43	14
34	43	75
35	43	74
36	43	70
37	43	27
38	43	41
40	43	23
4	46	0
5	46	0
12	46	0
13	46	0
14	46	0
18	46	4
24	46	2
33	46	4
34	46	4
35	46	7
36	46	5
37	46	0
38	46	0
40	46	0
2	47	10
3	47	8
6	47	0
7	47	19
8	47	0
9	47	12
10	47	10
15	47	20
17	47	32
21	47	34
22	47	12
23	47	34
25	47	49
26	47	52
27	47	0
29	47	65
32	47	10
41	47	25
42	47	35
43	47	125
2	48	9
3	48	0
6	48	0
7	48	14
8	48	5
9	48	22
10	48	11
15	48	13
17	48	6
21	48	15
22	48	0
23	48	76
25	48	69
26	48	29
27	48	0
29	48	58
32	48	7
41	48	14
42	48	19
43	48	90
46	48	43
2	49	0
3	49	4
6	49	0
7	49	12
8	49	4
9	49	7
10	49	29
15	49	3
17	49	9
21	49	0
22	49	1
23	49	1
25	49	36
26	49	36
27	49	3
29	49	46
32	49	13
41	49	0
42	49	4
43	49	36
46	49	40
2	50	0
3	50	6
6	50	0
7	50	22
8	50	2
9	50	4
10	50	24
15	50	10
17	50	47
21	50	0
22	50	1
23	50	42
25	50	38
26	50	54
27	50	14
29	50	56
32	50	21
41	50	20
42	50	30
43	50	77
46	50	39
4	52	11
5	52	15
12	52	0
13	52	34
14	52	3
18	52	3
24	52	21
33	52	35
34	52	28
35	52	71
36	52	24
37	52	29
38	52	2
40	52	21
47	52	172
48	52	170
49	52	166
4	53	0
5	53	10
12	53	9
13	53	31
14	53	49
18	53	0
24	53	6
33	53	0
34	53	26
35	53	55
36	53	6
37	53	6
38	53	45
40	53	0
47	53	102
48	53	42
49	53	63
50	53	182
2	54	17
3	54	9
6	54	0
7	54	33
8	54	5
9	54	53
10	54	50
15	54	17
17	54	0
21	54	10
22	54	6
23	54	97
25	54	68
26	54	67
27	54	1
29	54	31
32	54	0
41	54	2
42	54	7
43	54	133
46	54	36
52	54	386
