2	4
2	5
3	5
4	6
4	7
5	7
4	8
5	8
4	9
5	9
4	10
5	10
2	12
3	12
6	12
7	12
8	12
9	12
10	12
2	13
3	13
6	13
7	13
8	13
9	13
10	13
2	14
3	14
6	14
7	14
8	14
9	14
10	14
4	15
5	15
12	15
13	15
4	17
5	17
12	17
13	17
14	17
2	18
3	18
6	18
7	18
8	18
9	18
10	18
15	18
4	21
5	21
12	21
13	21
14	21
18	21
4	22
5	22
12	22
13	22
14	22
18	22
4	23
5	23
12	23
13	23
14	23
18	23
2	24
3	24
6	24
7	24
8	24
9	24
10	24
15	24
17	24
21	24
22	24
4	25
5	25
12	25
13	25
14	25
18	25
4	26
5	26
12	26
13	26
14	26
18	26
24	26
4	27
5	27
12	27
13	27
14	27
18	27
24	27
4	29
5	29
12	29
13	29
14	29
18	29
24	29
4	32
5	32
12	32
13	32
14	32
18	32
24	32
2	33
3	33
6	33
7	33
8	33
9	33
10	33
15	33
17	33
21	33
22	33
23	33
25	33
26	33
27	33
29	33
2	34
3	34
6	34
7	34
8	34
9	34
10	34
15	34
17	34
21	34
22	34
23	34
25	34
26	34
27	34
29	34
32	34
2	35
3	35
6	35
7	35
8	35
9	35
10	35
15	35
17	35
21	35
22	35
23	35
25	35
26	35
27	35
29	35
32	35
2	36
3	36
6	36
7	36
8	36
9	36
10	36
15	36
17	36
21	36
22	36
23	36
25	36
26	36
27	36
29	36
32	36
2	37
3	37
6	37
7	37
8	37
9	37
10	37
15	37
17	37
21	37
22	37
23	37
25	37
26	37
27	37
29	37
32	37
2	38
3	38
6	38
7	38
8	38
9	38
10	38
15	38
17	38
21	38
22	38
23	38
25	38
26	38
27	38
29	38
32	38
2	40
3	40
6	40
7	40
8	40
9	40
10	40
15	40
17	40
21	40
22	40
23	40
25	40
26	40
27	40
29	40
32	40
4	41
5	41
12	41
13	41
14	41
18	41
24	41
33	41
34	41
35	41
36	41
37	41
38	41
4	42
5	42
12	42
13	42
14	42
18	42
24	42
33	42
34	42
35	42
36	42
37	42
38	42
40	42
4	43
5	43
12	43
13	43
14	43
18	43
24	43
33	43
34	43
35	43
36	43
37	43
38	43
40	43
4	46
5	46
12	46
13	46
14	46
18	46
24	46
33	46
34	46
35	46
36	46
37	46
38	46
40	46
2	47
3	47
6	47
7	47
8	47
9	47
10	47
15	47
17	47
21	47
22	47
23	47
25	47
26	47
27	47
29	47
32	47
41	47
42	47
43	47
2	48
3	48
6	48
7	48
8	48
9	48
10	48
15	48
17	48
21	48
22	48
23	48
25	48
26	48
27	48
29	48
32	48
41	48
42	48
43	48
46	48
2	49
3	49
6	49
7	49
8	49
9	49
10	49
15	49
17	49
21	49
22	49
23	49
25	49
26	49
27	49
29	49
32	49
41	49
42	49
43	49
46	49
2	50
3	50
6	50
7	50
8	50
9	50
10	50
15	50
17	50
21	50
22	50
23	50
25	50
26	50
27	50
29	50
32	50
41	50
42	50
43	50
46	50
4	52
5	52
12	52
13	52
14	52
18	52
24	52
33	52
34	52
35	52
36	52
37	52
38	52
40	52
47	52
48	52
49	52
4	53
5	53
12	53
13	53
14	53
18	53
24	53
33	53
34	53
35	53
36	53
37	53
38	53
40	53
47	53
48	53
49	53
50	53
2	54
3	54
6	54
7	54
8	54
9	54
10	54
15	54
17	54
21	54
22	54
23	54
25	54
26	54
27	54
29	54
32	54
41	54
42	54
43	54
46	54
52	54
